key,dtype,size,value,4-sample-spread,class
Tp2E,flt ,4,1.5,38.5,responsive
Tp2G,flt ,4,0.0,,
Tp2I,flt ,4,-4.0,,
Tp2J,flt ,4,1.9000000953674316,38.1,responsive
Tp2K,flt ,4,0.0,,
Tp2L,flt ,4,-4.0,,
Tp2M,flt ,4,1.5,38.5,responsive
Tp2N,flt ,4,0.0,,
Tp2O,flt ,4,-4.0,,
Tp2Q,flt ,4,5.199999809265137,34.8,responsive
Tp2R,flt ,4,0.0,,
Tp2S,flt ,4,-4.0,,
Tp2T,flt ,4,5.199999809265137,34.8,responsive
Tp2U,flt ,4,0.0,,
Tp2V,flt ,4,-4.0,,
Tp2W,flt ,4,5.199999809265137,34.8,responsive
Tp2X,flt ,4,0.0,,
Tpx0,flt ,4,56.33476638793945,16.33,responsive
Tpx1,flt ,4,71.671875,31.67,responsive
Tpx2,flt ,4,52.37481689453125,13.19,responsive
Tpx3,flt ,4,60.984375,20.98,responsive
Tpx4,flt ,4,54.542335510253906,15.63,responsive
Tpx5,flt ,4,72.296875,32.3,responsive
Tpx8,flt ,4,0.0,,
Tpx9,flt ,4,0.0,,
TpxA,flt ,4,0.0,,
TpxB,flt ,4,0.0,,
TpxC,flt ,4,0.0,,
TpxD,flt ,4,0.0,,
Ts00,flt ,4,46.81847381591797,0.86,responsive
Ts01,flt ,4,46.81847381591797,0.86,responsive
Ts02,flt ,4,47.953125,1.16,responsive
Ts04,flt ,4,46.00228500366211,0.74,responsive
Ts05,flt ,4,46.00228500366211,0.74,responsive
Ts06,flt ,4,46.5625,0.92,responsive
Ts08,flt ,4,47.73759078979492,0.59,responsive
Ts09,flt ,4,47.73759078979492,0.59,responsive
Ts0A,flt ,4,48.09375,0.69,responsive
Ts0C,flt ,4,46.943702697753906,1.02,responsive
Ts0D,flt ,4,46.943702697753906,1.02,responsive
Ts0E,flt ,4,47.78125,0.69,responsive
Ts0G,flt ,4,47.67110824584961,0.95,responsive
Ts0H,flt ,4,47.67110824584961,0.95,responsive
Ts0I,flt ,4,50.3125,0.94,responsive
Ts0K,flt ,4,45.92149353027344,0.84,responsive
Ts0L,flt ,4,45.92149353027344,0.84,responsive
Ts0M,flt ,4,46.703125,0.47,responsive
Ts0O,flt ,4,46.337162017822266,1.01,responsive
Ts0P,flt ,4,28.5625,0.0,frozen
Ts0Q,flt ,4,46.337162017822266,1.01,responsive
Ts0R,flt ,4,46.875,0.94,responsive
Ts0T,flt ,4,47.34397888183594,0.88,responsive
Ts0U,flt ,4,47.34397888183594,0.88,responsive
Ts0W,flt ,4,47.84375,0.69,responsive
Ts0d,flt ,4,47.89146423339844,0.73,responsive
Ts0e,flt ,4,47.89146423339844,0.73,responsive
Ts0f,flt ,4,48.375,0.47,responsive
Ts0g,flt ,4,47.022483825683594,1.04,responsive
